2012-09-15: Total users: 5851, Geocoded: 248, Cities: 64
2012-09-16: Total users: 5851, Geocoded: 250, Cities: 65
2012-09-17: Total users: 5855, Geocoded: 252, Cities: 65
2012-09-18: Total users: 5863, Geocoded: 254, Cities: 65
2012-09-19: Total users: 5869, Geocoded: 254, Cities: 65
2012-09-20: Total users: 5878, Geocoded: 255, Cities: 66
2012-09-21: Total users: 5888, Geocoded: 254, Cities: 65
2012-09-22: Total users: 5897, Geocoded: 268, Cities: 70
2012-09-22: Total users: 5897, Non-zero FROM: 439, Geocoded: 275, Cities: 72
2012-09-23: Total users: 5908, Non-zero FROM: 439, Geocoded: 280, Cities: 73
2012-09-23: Total users: 5908, Non-zero FROM: 439, Geocoded: 283, Cities: 75
2012-09-24: Total users: 5911, Non-zero FROM: 441, Geocoded: 286, Cities: 78
2012-09-24: Total users: 5911, Non-zero FROM: 441, Geocoded: 301, Cities: 90
2012-09-25: Total users: 5922, Non-zero FROM: 442, Geocoded: 301, Cities: 90
2012-09-26: Total users: 5929, Non-zero FROM: 442, Geocoded: 301, Cities: 91
2012-09-28: Total users: 5951, Non-zero FROM: 444, Geocoded: 303, Cities: 92
2012-09-29: Total users: 5963, Non-zero FROM: 444, Geocoded: 303, Cities: 92
2012-09-30: Total users: 5971, Non-zero FROM: 443, Geocoded: 302, Cities: 91
2012-10-01: Total users: 5976, Non-zero FROM: 443, Geocoded: 302, Cities: 91
2012-10-02: Total users: 5977, Non-zero FROM: 443, Geocoded: 302, Cities: 91
2012-10-03: Total users: 5980, Non-zero FROM: 443, Geocoded: 302, Cities: 91
2012-10-04: Total users: 5989, Non-zero FROM: 443, Geocoded: 302, Cities: 91
2012-10-05: Total users: 5991, Non-zero FROM: 445, Geocoded: 305, Cities: 93
2012-10-06: Total users: 6005, Non-zero FROM: 445, Geocoded: 305, Cities: 93
2012-10-07: Total users: 6014, Non-zero FROM: 445, Geocoded: 305, Cities: 93
2012-10-08: Total users: 6021, Non-zero FROM: 445, Geocoded: 305, Cities: 93
2012-10-09: Total users: 6032, Non-zero FROM: 444, Geocoded: 304, Cities: 92
2012-10-10: Total users: 6040, Non-zero FROM: 444, Geocoded: 304, Cities: 92
2012-10-11: Total users: 6049, Non-zero FROM: 445, Geocoded: 305, Cities: 92
2012-10-12: Total users: 6053, Non-zero FROM: 447, Geocoded: 307, Cities: 92
2012-10-13: Total users: 6064, Non-zero FROM: 446, Geocoded: 306, Cities: 92
2012-10-14: Total users: 6070, Non-zero FROM: 445, Geocoded: 306, Cities: 92
2012-10-15: Total users: 6077, Non-zero FROM: 445, Geocoded: 306, Cities: 92
2012-10-16: Total users: 6084, Non-zero FROM: 444, Geocoded: 305, Cities: 92
2012-10-17: Total users: 6093, Non-zero FROM: 444, Geocoded: 305, Cities: 92
2012-10-18: Total users: 6105, Non-zero FROM: 444, Geocoded: 305, Cities: 91
2012-10-19: Total users: 6112, Non-zero FROM: 445, Geocoded: 307, Cities: 91
2012-10-19: Total users: 6112, Non-zero FROM: 445, Geocoded(active): 307(161), Cities(active): 91(60)
2012-10-20: Total users: 6118, Non-zero FROM: 447, Geocoded(active): 310(163), Cities(active): 93(61)
2012-10-21: Total users: 6126, Non-zero FROM: 447, Geocoded(active): 310(163), Cities(active): 93(61)
2012-10-22: Total users: 6129, Non-zero FROM: 449, Geocoded(active): 313(166), Cities(active): 94(62)
2012-10-23: Total users: 6132, Non-zero FROM: 452, Geocoded(active): 316(169), Cities(active): 96(64)
2012-10-24: Total users: 6139, Non-zero FROM: 457, Geocoded(active): 320(174), Cities(active): 98(67)
2012-10-25: Total users: 6143, Non-zero FROM: 457, Geocoded(active): 319(173), Cities(active): 98(67)
2012-10-25: Total users: 6146, Non-zero FROM: 460, Geocoded(active): 346(187), Cities(active): 103(70)
2012-10-26: Total users: 6146, Non-zero FROM: 460, Geocoded(active): 346(187), Cities(active): 103(70)
2012-10-27: Total users: 6152, Non-zero FROM: 460, Geocoded(active): 346(188), Cities(active): 103(71)
2012-10-28: Total users: 6156, Non-zero FROM: 463, Geocoded(active): 347(188), Cities(active): 103(71)
2012-10-29: Total users: 6165, Non-zero FROM: 463, Geocoded(active): 347(187), Cities(active): 103(71)
2012-10-30: Total users: 6179, Non-zero FROM: 468, Geocoded(active): 347(187), Cities(active): 103(71)
2012-10-31: Total users: 6191, Non-zero FROM: 470, Geocoded(active): 348(188), Cities(active): 103(71)
